date,n_trialers,cvr
2021-06-08,350,0.4914285714285714
2021-06-09,476,0.4642857142857143
2021-06-10,398,0.4095477386934673
2021-06-11,487,0.3819301848049281
2021-06-12,293,0.4163822525597269
2021-06-13,320,0.45
2021-06-14,463,0.4578833693304535
2021-06-15,451,0.4434589800443459
2021-06-16,466,0.4527896995708154
2021-06-17,402,0.4701492537313433
2021-06-18,1008,0.4126984126984127
2021-06-19,447,0.4384787472035794
2021-06-20,478,0.4769874476987448
2021-06-21,721,0.4160887656033287
2021-06-22,377,0.493368700265252
2021-06-23,273,0.4542124542124542
2021-06-24,237,0.4472573839662447
2021-06-25,197,0.5076142131979695
2021-06-26,181,0.4751381215469613
2021-06-27,201,0.5323383084577115
2021-06-28,313,0.4856230031948881
2021-06-29,292,0.4520547945205479
2021-06-30,251,0.4701195219123506
